workclass,occupation,education_level,relationship,gender,capital_gain,capital_loss,hours_per_week,income
,,9.0,Not-in-family,Female,0.0,4356.0,40.0,<=50K
Private,Exec-managerial,9.0,Not-in-family,Female,0.0,4356.0,18.0,<=50K
,,10.0,Unmarried,Female,0.0,4356.0,40.0,<=50K
Private,Machine-op-inspct,4.0,Unmarried,Female,0.0,3900.0,40.0,<=50K
Private,Prof-specialty,10.0,Own-child,Female,0.0,3900.0,40.0,<=50K
Private,Other-service,9.0,Unmarried,Female,0.0,3770.0,45.0,<=50K
Private,Adm-clerical,6.0,Unmarried,Male,0.0,3770.0,40.0,<=50K
State-gov,Prof-specialty,16.0,Other-relative,Female,0.0,3683.0,20.0,>50K
Federal-gov,Prof-specialty,9.0,Not-in-family,Female,0.0,3683.0,40.0,<=50K
Private,Craft-repair,10.0,Unmarried,Male,0.0,3004.0,60.0,>50K
Private,Prof-specialty,16.0,Unmarried,Female,0.0,3004.0,35.0,>50K
Self-emp-not-inc,Prof-specialty,15.0,Not-in-family,Male,0.0,2824.0,45.0,>50K
Private,Other-service,13.0,Not-in-family,Female,0.0,2824.0,20.0,>50K
Private,Exec-managerial,14.0,Not-in-family,Male,0.0,2824.0,55.0,>50K
,,16.0,Not-in-family,Male,0.0,2824.0,40.0,>50K
Private,Prof-specialty,15.0,Not-in-family,Male,0.0,2824.0,40.0,>50K
Private,Transport-moving,7.0,Not-in-family,Male,0.0,2824.0,76.0,>50K
Private,Exec-managerial,14.0,Not-in-family,Male,0.0,2824.0,50.0,>50K
Private,Handlers-cleaners,12.0,Not-in-family,Male,0.0,2824.0,40.0,>50K
Private,Sales,13.0,Not-in-family,Male,0.0,2824.0,50.0,>50K
Private,Exec-managerial,13.0,Not-in-family,Male,0.0,2824.0,40.0,>50K
Private,Sales,7.0,Not-in-family,Female,0.0,2754.0,42.0,<=50K
Private,Sales,9.0,Unmarried,Female,0.0,2754.0,25.0,<=50K
Private,Transport-moving,10.0,Husband,Male,0.0,2603.0,40.0,<=50K
,,9.0,Husband,Male,0.0,2603.0,32.0,<=50K
Private,Craft-repair,11.0,Husband,Male,0.0,2603.0,40.0,<=50K
Private,Craft-repair,2.0,Not-in-family,Male,0.0,2603.0,32.0,<=50K
Private,Other-service,3.0,Husband,Male,0.0,2603.0,40.0,<=50K
Self-emp-inc,Transport-moving,6.0,Not-in-family,Male,0.0,2559.0,50.0,>50K
Private,Prof-specialty,6.0,Not-in-family,Male,0.0,2559.0,90.0,>50K
Private,Other-service,10.0,Not-in-family,Male,0.0,2559.0,40.0,>50K
Self-emp-inc,Exec-managerial,6.0,Unmarried,Female,0.0,2559.0,50.0,>50K
Private,Exec-managerial,15.0,Not-in-family,Male,0.0,2559.0,60.0,>50K
Private,Exec-managerial,13.0,Not-in-family,Male,0.0,2559.0,50.0,>50K
Self-emp-not-inc,Exec-managerial,9.0,Not-in-family,Male,0.0,2559.0,50.0,>50K
Federal-gov,Exec-managerial,16.0,Not-in-family,Female,0.0,2559.0,60.0,>50K
Private,Sales,9.0,Not-in-family,Male,0.0,2559.0,48.0,>50K
Private,Prof-specialty,15.0,Not-in-family,Female,0.0,2559.0,50.0,>50K
Self-emp-not-inc,Prof-specialty,16.0,Not-in-family,Female,0.0,2559.0,60.0,>50K
Private,Prof-specialty,14.0,Not-in-family,Female,0.0,2559.0,40.0,>50K
Private,Exec-managerial,13.0,Unmarried,Male,0.0,2547.0,50.0,>50K
Private,Exec-managerial,14.0,Unmarried,Female,0.0,2547.0,40.0,>50K
Private,Adm-clerical,10.0,Unmarried,Female,0.0,2547.0,40.0,>50K
Private,Prof-specialty,14.0,Unmarried,Female,0.0,2547.0,40.0,>50K
,,9.0,Husband,Male,0.0,2489.0,15.0,<=50K
Private,Sales,13.0,Unmarried,Female,0.0,2472.0,70.0,>50K
Private,Sales,9.0,Husband,Male,0.0,2467.0,52.0,<=50K
Self-emp-not-inc,Farming-fishing,9.0,Husband,Male,0.0,2457.0,40.0,<=50K
,,10.0,Wife,Female,0.0,2457.0,40.0,<=50K
,,10.0,Husband,Male,0.0,2457.0,40.0,<=50K
Self-emp-not-inc,Prof-specialty,15.0,Not-in-family,Male,0.0,2444.0,45.0,>50K
Private,Sales,9.0,Not-in-family,Female,0.0,2444.0,72.0,>50K
State-gov,Tech-support,11.0,Not-in-family,Male,0.0,2444.0,39.0,>50K
Private,Exec-managerial,10.0,Not-in-family,Female,0.0,2444.0,40.0,>50K
Private,Sales,14.0,Not-in-family,Male,0.0,2444.0,45.0,>50K
Private,Exec-managerial,13.0,Other-relative,Male,0.0,2444.0,50.0,>50K
Private,Craft-repair,10.0,Not-in-family,Male,0.0,2444.0,45.0,>50K
Local-gov,Protective-serv,10.0,Not-in-family,Male,0.0,2444.0,40.0,>50K
Private,Sales,13.0,Not-in-family,Female,0.0,2444.0,45.0,>50K
Private,Craft-repair,11.0,Not-in-family,Male,0.0,2444.0,42.0,>50K
Private,Craft-repair,12.0,Not-in-family,Male,0.0,2444.0,70.0,>50K
Self-emp-inc,Exec-managerial,7.0,Other-relative,Male,0.0,2444.0,40.0,>50K
Private,Adm-clerical,10.0,Wife,Female,0.0,2415.0,6.0,>50K
Self-emp-not-inc,Sales,13.0,Husband,Male,0.0,2415.0,40.0,>50K
